task_id,user_id,scholarship_guide_id,text,task_description,status,file_given_name,file,created_at,updated_at,,Ron Brown,,,,task_deadline
1,1,1,Sign up for SAT or ACT,"If you have not taken the SAT or ACT yet, sign up as soon as possible. You should take the SAT or ACT no later than the November test administration date so that the scores are available by the final application deadline of January 9.",,,,,,,,,,,9/1/2019
2,1,1,Ask for 2 rec letters,"Please ask two individuals who know you well to submit letters of recommendation. At least one letter should be from a teacher or
other school professional.",,,,,,,,,,,9/15/2019
3,1,1,Fill out personal data,"Print out page 1 of the application and fill out the personal data section. If you don't have standardized test scores yet, leave that blank for now and fill it out later. ",,,,,,,,,,,10/1/2019
4,2,1,Request Transcript,"Ask your guidance counselor to get you a printed copy of your official transcript. Keep in mind that no application materials, including transcripts, may be emailed or faxed in. You must have a paper copy. ",,,,,,,,,,,10/5/2019
5,3,1,Ask for guidance counselor to fill out their part of form,Print out page 1 of the application and ask your guidance counselor to fill out the bottom portion. ,,,,,,,,,,,10/5/2019
6,3,1,List activities,"Please list your extracurricular, community, employment or other activities in order of their importance to you. Indicate the dates you participated in the activity, positions held and the number of hours per week you spend on each activity. We realize that the way you spend your time outside the classroom may be affected by factors beyond your control, such as the need to work.",,,,,,,,,,,10/20/2019
7,3,1,List significant awards or honors,List any significant awards or honors you have received during high school for academic or extracurricular achievements.,,,,,,,,,,,11/1/2019
8,2,1,Write Essay A (500 words), Each essay should be no longer than 500 words. (A) Choose the one activity you listed as most important in question #1 and tell us why it is significant.,,,,,,,,,,,11/15/2019
9,3,1,Write Essay B (500 words),"Each essay should be no longer than 500 words. (B) Submit one essay that you plan to send or have sent as part of a college application. This may be on any topic. If your college
application did not require an essay, please submit an essay on the topic of your choice.",,,,,,,,,,,12/1/2019
10,4,1,Ask parent/guardian to fill out their part,Print out page 2 of the application and ask your parents/guardians to fill out the bottom portion. ,,,,,,,,,,,12/5/2019
11,2,1,Record SAT and ACT scores,"Record the required scores on page one of your
application in case they don?€?t appear on your high school
transcript. A copy of your score report may also be included
with your materials. ",,,,,,,,,,,12/20/2019
12,4,1,Compile application packet,"Application materials must be mailed in one packet. Please make sure your mailed application is postmarked by January 9, 2019 or earlier. Transcripts and letters of recommendation should not be sent under separate cover. To verify receipt of your application, include a self-addressed stamped envelope. A photograph is optional. Incomplete, emailed or faxed applications will not be considered. We suggest that you keep copies of your application materials. Semifinalists will be contacted in early March and winners will be announced on our website in May. We regret that we are unable to individually notify other applicants of the decision on their applications.",,,,,,,,,,,1/3/2019
13,1,2,Request transcript from high school ,Ask your guidance counselor to get you a copy of your official transcript. ,,,,,,,Coca Cola,,,,9/15/2019
14,2,2,Complete Part 1 of application,"Fill out Part 1: Biographical information. You will need your high school code, contact information for your principal and counselor, and your family's financial information",,,,,,,,,,,9/20/2010
15,2,2,Complete Part 2 ,Fill out Part 2: School Activities,,,,,,,,,,,9/25/2019
16,4,2,Complete Part 3,Fill out Part 3: Community Activities,,,,,,,,,,,9/30/2019
